T_out,T_in_init,T_set,tau,COP,t_critical,E_at_critical,iterations,converged
32,30,26,2,3.3,1.0715,4.3636,13,True
32,30,26,2,3.6,1.0715,4.0,13,True
32,30,26,2,4.0,1.0715,3.6,13,True
32,30,26,4,2.6,2.1452,5.5385,13,True
32,30,26,4,3.0,2.1452,4.8,13,True
32,30,26,4,3.3,2.1452,4.3636,13,True
32,30,26,4,3.6,2.1452,4.0,13,True
32,30,26,4,4.0,2.1452,3.6,13,True
32,30,26,6,2.6,3.2188,5.5385,13,True
32,30,26,6,3.0,3.2188,4.8,13,True
32,30,26,6,3.3,3.2188,4.3636,13,True
32,30,26,6,3.6,3.2188,4.0,13,True
32,30,26,6,4.0,3.2188,3.6,13,True
32,30,26,9,2.6,4.8292,5.5385,13,True
32,30,26,9,3.0,4.8292,4.8,13,True
32,30,26,9,3.3,4.8292,4.3636,13,True
32,30,26,9,3.6,4.8292,4.0,13,True
32,30,26,9,4.0,4.8292,3.6,13,True
32,30,26,12,2.6,6.4397,5.5385,13,True
32,30,26,12,3.0,6.4397,4.8,13,True
32,30,26,12,3.3,6.4397,4.3636,13,True
32,30,26,12,3.6,6.4397,4.0,13,True
32,30,26,12,4.0,6.4397,3.6,13,True
34,32,22,2,2.6,1.2116,11.0769,13,True
34,32,22,2,3.0,1.2116,9.6,13,True
34,32,22,2,3.3,1.2116,8.7273,13,True
34,32,22,2,3.6,1.2116,8.0,13,True
34,32,22,2,4.0,1.2116,7.2,13,True
34,32,22,4,2.6,2.4252,11.0769,13,True
34,32,22,4,3.0,2.4252,9.6,13,True
34,32,22,4,3.3,2.4252,8.7273,13,True
34,32,22,4,3.6,2.4252,8.0,13,True
34,32,22,4,4.0,2.4252,7.2,13,True
34,32,22,6,2.6,3.6389,11.0769,13,True
34,32,22,6,3.0,3.6389,9.6,13,True
34,32,22,6,3.3,3.6389,8.7273,13,True
34,32,22,6,3.6,3.6389,8.0,13,True
34,32,22,6,4.0,3.6389,7.2,13,True
34,32,22,9,2.6,5.4536,11.0769,13,True
34,32,22,9,3.0,5.4536,9.6,13,True
34,32,22,9,3.3,5.4536,8.7273,13,True
34,32,22,9,3.6,5.4536,8.0,13,True
